"successor, 2-pass", "query_one", 2048, 5.2307128906e-06
"successor, 2-pass, checked", "query_one", 2048, 5.7281494141e-06
"successor, halving", "query_one", 2048, 5.5496215820e-06
"quick find", "query_one", 2048, 4.3670654297e-06
"union find", "query_one", 2048, 4.5989990234e-06
"quick find, microset", "query_one", 2048, 3.8101196289e-06
"union find, microset", "query_one", 2048, 4.5806884766e-06
"successor, 2-pass, microset", "query_one", 2048, 4.4372558594e-06
"successor, no compression", "query_one", 4096, 8.3093750000e-03
"successor, recursive", "query_one", 4096, 1.3128662109e-05
"successor, 2-pass", "query_one", 4096, 1.0797119141e-05
"successor, 2-pass, checked", "query_one", 4096, 1.1450195312e-05
"successor, halving", "query_one", 4096, 1.0781860352e-05
"quick find", "query_one", 4096, 8.7829589844e-06
"union find", "query_one", 4096, 9.1827392578e-06
"quick find, microset", "query_one", 4096, 7.5378417969e-06
"union find, microset", "query_one", 4096, 9.2895507813e-06
"successor, 2-pass, microset", "query_one", 4096, 8.6486816406e-06
"successor, no compression", "query_one", 8192, 3.9675000000e-02
"successor, recursive", "query_one", 8192, 2.5268554687e-05
"successor, 2-pass", "query_one", 8192, 2.2796630859e-05
"successor, 2-pass, checked", "query_one", 8192, 2.2814941406e-05
"successor, halving", "query_one", 8192, 2.3187255859e-05
"quick find", "query_one", 8192, 1.8035888672e-05
"union find", "query_one", 8192, 1.8713378906e-05
"quick find, microset", "query_one", 8192, 1.5087890625e-05
"union find, microset", "query_one", 8192, 1.8676757812e-05
"successor, 2-pass, microset", "query_one", 8192, 1.7492675781e-05
"successor, no compression", "query_one", 16384, 1.5710000000e-01
"successor, recursive", "query_one", 16384, 5.0585937500e-05
"successor, 2-pass", "query_one", 16384, 4.5251464844e-05
"successor, 2-pass, checked", "query_one", 16384, 4.7314453125e-05
"successor, halving", "query_one", 16384, 4.5654296875e-05
"quick find", "query_one", 16384, 3.5461425781e-05
"union find", "query_one", 16384, 3.8134765625e-05
"quick find, microset", "query_one", 16384, 2.9467773438e-05
"union find, microset", "query_one", 16384, 3.5791015625e-05
"successor, 2-pass, microset", "query_one", 16384, 3.5400390625e-05
"successor, no compression", "query_one", 32768, 5.8000000000e-01
"successor, recursive", "query_one", 32768, 9.7412109375e-05
"successor, 2-pass", "query_one", 32768, 9.3408203125e-05
"successor, 2-pass, checked", "query_one", 32768, 9.9218750000e-05
"successor, halving", "query_one", 32768, 9.5776367187e-05
"quick find", "query_one", 32768, 6.9140625000e-05
"union find", "query_one", 32768, 7.0654296875e-05
"quick find, microset", "query_one", 32768, 5.8300781250e-05
"union find, microset", "query_one", 32768, 7.2412109375e-05
"successor, 2-pass, microset", "query_one", 32768, 7.2705078125e-05
"successor, no compression", "query_one", 65536, 2.4302000000e+00
"successor, recursive", "query_one", 65536, 2.1269531250e-04
"successor, 2-pass", "query_one", 65536, 1.9570312500e-04
"successor, 2-pass, checked", "query_one", 65536, 2.0273437500e-04
"successor, halving", "query_one", 65536, 1.9824218750e-04
"quick find", "query_one", 65536, 1.4916992187e-04
"union find", "query_one", 65536, 1.5532226562e-04
"quick find, microset", "query_one", 65536, 1.2431640625e-04
"union find, microset", "query_one", 65536, 1.4609375000e-04
"successor, 2-pass, microset", "query_one", 65536, 1.4658203125e-04
"successor, 2-pass", "query_one", 131072, 4.0898437500e-04
"successor, 2-pass, checked", "query_one", 131072, 4.3105468750e-04
"successor, halving", "query_one", 131072, 4.3085937500e-04
"quick find", "query_one", 131072, 2.9921875000e-04
"union find", "query_one", 131072, 3.2080078125e-04
"quick find, microset", "query_one", 131072, 2.4804687500e-04
"union find, microset", "query_one", 131072, 2.9804687500e-04
"successor, 2-pass, microset", "query_one", 131072, 2.9121093750e-04
"successor, 2-pass", "query_one", 262144, 7.9609375000e-04
"successor, 2-pass, checked", "query_one", 262144, 8.6093750000e-04
"successor, halving", "query_one", 262144, 8.8750000000e-04
"quick find", "query_one", 262144, 6.1894531250e-04
"union find", "query_one", 262144, 6.8320312500e-04
"quick find, microset", "query_one", 262144, 4.9257812500e-04
"union find, microset", "query_one", 262144, 5.9296875000e-04
"successor, 2-pass, microset", "query_one", 262144, 5.7988281250e-04
"successor, 2-pass", "query_one", 524288, 1.6046875000e-03
"successor, 2-pass, checked", "query_one", 524288, 1.6890625000e-03
"successor, halving", "query_one", 524288, 1.6546875000e-03
"quick find", "query_one", 524288, 1.3730468750e-03
"union find", "query_one", 524288, 1.4242187500e-03
"quick find, microset", "query_one", 524288, 9.8906250000e-04
"union find, microset", "query_one", 524288, 1.1960937500e-03
"successor, 2-pass, microset", "query_one", 524288, 1.1921875000e-03
"successor, 2-pass", "query_one", 1048576, 3.5031250000e-03
"successor, 2-pass, checked", "query_one", 1048576, 3.8046875000e-03
"successor, halving", "query_one", 1048576, 3.4859375000e-03
"quick find", "query_one", 1048576, 2.9859375000e-03
"union find", "query_one", 1048576, 3.1593750000e-03
"quick find, microset", "query_one", 1048576, 2.2445312500e-03
"union find, microset", "query_one", 1048576, 2.3359375000e-03
"successor, 2-pass, microset", "query_one", 1048576, 2.5312500000e-03
"successor, 2-pass", "query_one", 2097152, 7.6937500000e-03
"successor, 2-pass, checked", "query_one", 2097152, 8.0281250000e-03
"successor, halving", "query_one", 2097152, 9.2875000000e-03
"quick find", "query_one", 2097152, 6.5562500000e-03
"union find", "query_one", 2097152, 6.6562500000e-03
"quick find, microset", "query_one", 2097152, 4.2781250000e-03
